id,places_name,latitude,longitude,total_nodes
2,Plaza Elektro,-7.285066,112.795538,1
36,Turn 4,-7.285054,112.795622,4
37,Turn 5,-7.284484,112.795631,4
39,Turn 7,-7.283894,112.795636,3
4,Teater A,-7.28337107305033,112.795047164073,1
112,Turn 88,-7.283876,112.795456,2
113,Turn 89,-7.283472,112.794314,2
34,Turn 2,-7.2829,112.793823,2
1,Turn 19,-7.28398597039389,112.793659653264,2
3,Tower 2,-7.28529559757867,112.795295436033,1
7,Kantin Pusat,-7.28389120047976,112.793954126502,3
8,Masjid Manarul Ilmi,-7.28214963446365,112.793055862146,2
9,Plaza Dr. Angka,-7.28233636915377,112.794492643769,3
10,Perpustakaan,-7.28145070809083,112.795642039098,1
15,Rektorat,-7.28191448099568,112.798526151691,2
26,Teknik Mesin,-7.28435914024522,112.796440626367,3
30,Statistika,-7.28543424182746,112.794586179942,2
31,Biologi,-7.28588730983502,112.793953717283,1
33,Turn 1,-7.28368313389204,112.794000721532,3
35,Turn 3,-7.28522688271002,112.795688025496,3
38,Turn 6,-7.28444999969906,112.79430400576,3
40,Turn 8,-7.2832048556113,112.79567729667,3
41,Turn 9,-7.28289622960707,112.794582955463,3
42,Turn 10,-7.28248118052861,112.794191352979,3
43,Turn 11,-7.28211402138441,112.794153802026,2
44,Turn 12,-7.28178411003421,112.79443275174,2
45,Turn 13,-7.28498419968948,112.794712515606,2
46,Turn 14,-7.28543036281737,112.794699664344,2
47,Turn 15,-7.28541517299859,112.794166136874,2
48,Turn 16,-7.28433346667972,112.796105057556,3
49,Turn 17,-7.28163467206272,112.794790955788,3
6,Teater C,-7.28456730888271,112.795334765466,1
28,Gedung C,-7.28406414869822,112.795695061459,4
29,Tower 1,-7.28496264763561,112.793983428451,2
50,Turn 18,-7.284349832903,112.796427642269,2
51,Kantin Mesin,-7.28413606298879,112.796099954344,1
53,FTIRS,-7.28520826838725,112.797395461284,1
14,Kimia,-7.28288885713053,112.796265890876,1
55,Kos T,-7.2868647117713,112.797827642816,1
56,Kos I1,-7.28690033052708,112.798530219636,2
54,Kos Y,-7.2868162078381,112.798299313076,2
57,Kos I2,-7.2870138406999,112.798961031561,1
58,Turn 50,-7.28626805474683,112.793692570992,1
32,Gedung AJ,-7.28523617784483,112.796063048935,3
52,Gedung B,-7.28497034384528,112.796107583585,2
5,Teater B,-7.28421211195366,112.79508654604,1
27,Kantin Fisika,-7.28444,112.794861,2
101,Turn Teater BC,-7.28442238409168,112.795213679182,4
102,Turn 78,-7.28256393943471,112.794176291009,3
103,Turn 79,-7.28271170234058,112.794037368953,3
104,Turn 80,-7.28278309339002,112.794407269848,4
105,Turn 81,-7.28290595238565,112.794266674035,4
107,Turn 83,-7.28314502924011,112.794485936557,3
111,Turn 87,-7.283798,112.795454,3
110,Turn 86,-7.283648,112.795272,2
109,Turn 85,-7.283607,112.794463,2
108,Turn 84,-7.283389,112.794199,4
106,Turn 82,-7.2830825904732,112.794040193342,3
114,Turn 90,-7.28323040598058,112.795025495839,3
11,Teknik Perkapalan,-7.28171580679308,112.796540825079,3
12,Teknik Kelautan,-7.28173671987089,112.797524703707,3
13,Transportasi Laut,-7.28191448099568,112.798526151691,3
16,Arsitektur,-7.28100290778225,112.79387293124,3
17,Teknik Sipil,-7.27998346290582,112.792293061735,3
18,PWK,-7.27957373635672,112.794091930867,3
19,Teknik Geofisika,-7.2798701783978,112.795409971273,3
20,Desain Interior,-7.27912838260507,112.795753969998,3
21,Desain Produk,-7.27872781236692,112.796520488896,3
24,Teknik Kedokteran,-7.28056004740307,112.795402492919,3
25,Teknik Lingkungan,-7.27991986113723,112.792301258937,3
115,Turn 91,-7.28308477660116,112.795688203262,2
116,Turn 92,-7.28307684154512,112.795896192789,3
117,Turn 19,-7.28377662382439,112.793891504753,2